Offset-Description                                                                   
0000 - Byte              299D8479D00 : 136             29A17332A40 : 136             
0640 - 4 Bytes           299D847A340 : 2               29A17333080 : 1129250816      
0644 - 4 Bytes           299D847A344 : 4               29A17333084 : 1116063385      
0648 - 4 Bytes           299D847A348 : 3710711360      29A17333088 : 1128529920      
064C - 4 Bytes           299D847A34C : 665             29A1733308C : 1129250816      
0650 - 4 Bytes           299D847A350 : 1               29A17333090 : 1116063385      
0654 - 4 Bytes           299D847A354 : 4               29A17333094 : 1128529920      
0658 - 4 Bytes           299D847A358 : 3710649280      29A17333098 : 1129185280      
065C - 4 Bytes           299D847A35C : 665             29A1733309C : 1116063385      
0660 - 4 Bytes           299D847A360 : 1               29A173330A0 : 1128464384      
0664 - Double            299D847A364 : 3.2721175096704329A173330A4 : 2992839879104.03
066C - Float             299D847A36C : 0               29A173330AC : 196             
0670 - Float             299D847A370 : -2.189523475E19 29A173330B0 : 206.0010071     
0674 - Float             299D847A374 : 9.318634788E-43 29A173330B4 : 66.88788605     
0678 - 4 Bytes           299D847A378 : 0               29A173330B8 : 1128529920      
067C - 4 Bytes           299D847A37C : 0               29A173330BC : 1129185346      
0680 - 4 Bytes           299D847A380 : 0               29A173330C0 : 1115947008      
0684 - 4 Bytes           299D847A384 : 1065353216      29A173330C4 : 1128464384      
0688 - 4 Bytes           299D847A388 : 1065353216      29A173330C8 : 1129185346      
068C - 4 Bytes           299D847A38C : 1065353216      29A173330CC : 1115947008      
0690 - 4 Bytes           299D847A390 : 1065353216      29A173330D0 : 1128529920      
0694 - 4 Bytes           299D847A394 : 0               29A173330D4 : 1129250750      
0698 - Pointer           299D847A398 : P->00000000     29A173330D8 : P->434300004285C699
06A0 - Pointer           299D847A3A0 : P->299DDEFE640  29A173330E0 : P->4285C699434EFFBE
06A8 - 4 Bytes           299D847A3A8 : 0               29A173330E8 : 1128464384      
06AC - 4 Bytes           299D847A3AC : 0               29A173330EC : 1129250750      
06B0 - 4 Bytes           299D847A3B0 : 0               29A173330F0 : 1115947008      
06B4 - 4 Bytes           299D847A3B4 : 0               29A173330F4 : 1128529920      
06B8 - 4 Bytes           299D847A3B8 : 0               29A173330F8 : 1129250750      
06BC - 4 Bytes           299D847A3BC : 0               29A173330FC : 1115947008      
06C0 - 4 Bytes           299D847A3C0 : 3276682624      29A17333100 : 755689232       
06C4 - 4 Bytes           299D847A3C4 : 665             29A17333104 : 32759           
06C8 - 4 Bytes           299D847A3C8 : 3750700288      29A17333108 : 0               
06CC - 4 Bytes           299D847A3CC : 665             29A1733310C : 420410          
06D0 - 4 Bytes           299D847A3D0 : 3914771936      29A17333110 : 2859530752      
06D4 - 4 Bytes           299D847A3D4 : 665             29A17333114 : 665             
06D8 - 4 Bytes           299D847A3D8 : 3916312096      29A17333118 : 24992           
06DC - 4 Bytes           299D847A3DC : 665             29A1733311C : 1               
06E0 - Byte              299D847A3E0 : 224             29A17333120 : 0               
06E1 - Byte              299D847A3E1 : 100             29A17333121 : 103             
06E2 - Byte              299D847A3E2 : 59              29A17333122 : 58              
06E3 - 2 Bytes           299D847A3E3 : 39401           29A17333123 : 39447           
06E5 - Byte              299D847A3E5 : 2               29A17333125 : 2               
06E6 - Byte              299D847A3E6 : 0               29A17333126 : 0               
06E7 - Byte              299D847A3E7 : 0               29A17333127 : 0               
06E8 - 4 Bytes           299D847A3E8 : 3914774272      29A17333128 : 755690360       
06EC - 4 Bytes           299D847A3EC : 665             29A1733312C : 32759           
06F0 - 4 Bytes           299D847A3F0 : 3611068768      29A17333130 : 755690384       
06F4 - 4 Bytes           299D847A3F4 : 665             29A17333134 : 32759           
06F8 - 4 Bytes           299D847A3F8 : 3914732224      29A17333138 : 0               
06FC - 4 Bytes           299D847A3FC : 665             29A1733313C : 0               
0700 - Pointer           299D847A400 : P->299EAD1EDC0  29A17333140 : P->00000000     
0708 - 4 Bytes           299D847A408 : 3611045408      29A17333148 : 0               
070C - 4 Bytes (Hex)     299D847A40C : 00000299        29A1733314C : 00000000        
0710 - Pointer           299D847A410 : P->299D73C4980  29A17333150 : P->3F80000000000000
0718 - 4 Bytes (Hex)     299D847A418 : D0FE3740        29A17333158 : 3F800000        
071C - 4 Bytes           299D847A41C : 665             29A1733315C : 1065353216      
0720 - Pointer           299D847A420 : P->299E96EEDC0  29A17333160 : P->00000000     
0728 - Pointer           299D847A428 : P->299E23B2500  29A17333168 : P->00000000     
0730 - 4 Bytes           299D847A430 : 3947804416      29A17333170 : 0               
0734 - 4 Bytes           299D847A434 : 665             29A17333174 : 0               
0738 - 4 Bytes           299D847A438 : 25414           29A17333178 : 0               
073C - 4 Bytes           299D847A43C : 1               29A1733317C : 0               
0740 - Pointer           299D847A440 : P->600000001    29A17333180 : P->00000000     
0748 - Pointer           299D847A448 : P->500000000    29A17333188 : P->00000000     
0750 - 4 Bytes           299D847A450 : 25414           29A17333190 : 3190594560      
0754 - 4 Bytes           299D847A454 : 2               29A17333194 : 665             
0758 - 4 Bytes           299D847A458 : 1               29A17333198 : 0               
075C - 4 Bytes           299D847A45C : 7               29A1733319C : 0               
0760 - 4 Bytes           299D847A460 : 4294967295      29A173331A0 : 0               
0764 - 4 Bytes           299D847A464 : 2               29A173331A4 : 0               
0768 - 4 Bytes           299D847A468 : 25415           29A173331A8 : 0               
076C - 4 Bytes           299D847A46C : 1               29A173331AC : 0               
0770 - 4 Bytes           299D847A470 : 1               29A173331B0 : 0               
0774 - 4 Bytes           299D847A474 : 8               29A173331B4 : 0               
0778 - 4 Bytes           299D847A478 : 6               29A173331B8 : 0               
077C - 4 Bytes           299D847A47C : 2               29A173331BC : 0               
0780 - 4 Bytes           299D847A480 : 25415           29A173331C0 : 0               
0784 - 4 Bytes           299D847A484 : 3               29A173331C4 : 0               
0788 - 4 Bytes           299D847A488 : 1               29A173331C8 : 0               
078C - 4 Bytes           299D847A48C : 9               29A173331CC : 0               
0790 - 4 Bytes           299D847A490 : 4294967295      29A173331D0 : 0               
0794 - Double            299D847A494 : 5.3949620989502629A173331D4 : 0               
079C - Float             299D847A49C : 1.401298464E-45 29A173331DC : 0               
07A0 - 4 Bytes           299D847A4A0 : 1               29A173331E0 : 16777216        
07A4 - 4 Bytes           299D847A4A4 : 10              29A173331E4 : 1051372191      
07A8 - Double            299D847A4A8 : 2.1219957904712129A173331E8 : 0               
07B0 - Float             299D847A4B0 : 3.562661216E-41 29A173331F0 : 4.039445465E-29 
07B4 - Double            299D847A4B4 : 2.1219957924474729A173331F4 : 3.2904772013027E-321
07BC - 4 Bytes           299D847A4BC : 11              29A173331FC : 0               
07C0 - 4 Bytes           299D847A4C0 : 4294967295      29A17333200 : 0               
07C4 - 4 Bytes           299D847A4C4 : 14              29A17333204 : 0               
07C8 - 4 Bytes           299D847A4C8 : 25424           29A17333208 : 0               
07CC - 4 Bytes           299D847A4CC : 4               29A1733320C : 0               
07D0 - 4 Bytes           299D847A4D0 : 1               29A17333210 : 0               
07D4 - 4 Bytes           299D847A4D4 : 12              29A17333214 : 0               
07D8 - Pointer           299D847A4D8 : P->D00000002    29A17333218 : P->00000000     
07E0 - Pointer           299D847A4E0 : P->600006350    29A17333220 : P->00000000     
07E8 - 4 Bytes           299D847A4E8 : 1               29A17333228 : 0               
07EC - 4 Bytes           299D847A4EC : 13              29A1733322C : 0               
07F0 - 4 Bytes           299D847A4F0 : 4294967295      29A17333230 : 0               
07F4 - 4 Bytes           299D847A4F4 : 4               29A17333234 : 0               
07F8 - 4 Bytes           299D847A4F8 : 6               29A17333238 : 0               
07FC - 4 Bytes           299D847A4FC : 4294967295      29A1733323C : 0               
0800 - 4 Bytes           299D847A500 : 3473501184      29A17333240 : 0               
0804 - 4 Bytes           299D847A504 : 437             29A17333244 : 0               
0808 - 4 Bytes           299D847A508 : 4294967295      29A17333248 : 0               
080C - 4 Bytes           299D847A50C : 20              29A1733324C : 0               
0810 - Pointer           299D847A510 : P->FFFFFFFF0000029A17333250 : P->00000000     
0818 - Float             299D847A518 : Nan             29A17333258 : 0               
081C - Float             299D847A51C : 2.101947696E-44 29A1733325C : 0               
0820 - 4 Bytes           299D847A520 : 3473425408      29A17333260 : 0               
0824 - 4 Bytes           299D847A524 : 437             29A17333264 : 0               
0828 - 4 Bytes           299D847A528 : 0               29A17333268 : 0               
082C - Double            299D847A52C : -5.418736970517229A1733326C : 0               
0834 - Float             299D847A534 : 6.123674289E-43 29A17333274 : 0               
0838 - Float             299D847A538 : 0               29A17333278 : 0               
083C - Float             299D847A53C : 1.541428311E-44 29A1733327C : 0               
0840 - 4 Bytes           299D847A540 : 2               29A17333280 : 0               
0844 - 4 Bytes           299D847A544 : 4294967295      29A17333284 : 0               
0848 - 4 Bytes           299D847A548 : 4294967295      29A17333288 : 0               
084C - 4 Bytes           299D847A54C : 2               29A1733328C : 0               
0850 - 4 Bytes           299D847A550 : 3474556544      29A17333290 : 0               
0854 - 4 Bytes           299D847A554 : 437             29A17333294 : 0               
0858 - Pointer           299D847A558 : P->FFFFFFFF0000029A17333298 : P->00000000     
0860 - 4 Bytes           299D847A560 : 0               29A173332A0 : 0               
0864 - 4 Bytes           299D847A564 : 0               29A173332A4 : 0               
0868 - 4 Bytes           299D847A568 : 0               29A173332A8 : 0               
086C - 4 Bytes           299D847A56C : 0               29A173332AC : 0               
0870 - 4 Bytes           299D847A570 : 6               29A173332B0 : 0               
0874 - 4 Bytes           299D847A574 : 4294967295      29A173332B4 : 0               
0878 - 4 Bytes           299D847A578 : 0               29A173332B8 : 0               
087C - 4 Bytes           299D847A57C : 0               29A173332BC : 0               
0880 - 4 Bytes           299D847A580 : 0               29A173332C0 : 0               
0884 - 4 Bytes           299D847A584 : 0               29A173332C4 : 0               
0888 - 4 Bytes           299D847A588 : 4               29A173332C8 : 0               
088C - 4 Bytes           299D847A58C : 4294967295      29A173332CC : 0               
0890 - 4 Bytes           299D847A590 : 0               29A173332D0 : 0               
0894 - 4 Bytes           299D847A594 : 0               29A173332D4 : 0               
0898 - 4 Bytes           299D847A598 : 0               29A173332D8 : 0               
089C - 4 Bytes           299D847A59C : 0               29A173332DC : 0               
08A0 - 4 Bytes           299D847A5A0 : 0               29A173332E0 : 0               
08A4 - Double            299D847A5A4 : 2.1219957904712129A173332E4 : 0               
08AC - Float             299D847A5AC : 0               29A173332EC : 0               
08B0 - Float             299D847A5B0 : 0               29A173332F0 : 0               
08B4 - 4 Bytes           299D847A5B4 : 0               29A173332F4 : 0               
08B8 - 4 Bytes           299D847A5B8 : 3               29A173332F8 : 4294967295      
08BC - 4 Bytes           299D847A5BC : 4294967295      29A173332FC : 0               
08C0 - 4 Bytes           299D847A5C0 : 0               29A17333300 : 0               
08C4 - 4 Bytes           299D847A5C4 : 0               29A17333304 : 0               
08C8 - 4 Bytes           299D847A5C8 : 1               29A17333308 : 0               
08CC - 4 Bytes           299D847A5CC : 0               29A1733330C : 0               
08D0 - 4 Bytes           299D847A5D0 : 3628573640      29A17333310 : 0               
08D4 - 4 Bytes           299D847A5D4 : 665             29A17333314 : 0               
08D8 - Pointer           299D847A5D8 : P->400000000E   29A17333318 : P->434300004285C699
08E0 - Pointer           299D847A5E0 : P->17500000020  29A17333320 : P->4285C699434EFFBE
08E8 - 4 Bytes           299D847A5E8 : 2048            29A17333328 : 1128464384      
08EC - 4 Bytes           299D847A5EC : 4294967295      29A1733332C : 1129250750      
08F0 - 4 Bytes           299D847A5F0 : 3916362944      29A17333330 : 1115947008      
08F4 - 4 Bytes           299D847A5F4 : 665             29A17333334 : 1128529920      
08F8 - 4 Bytes           299D847A5F8 : 0               29A17333338 : 1129250750      
08FC - 4 Bytes           299D847A5FC : 0               29A1733333C : 1115947008      
0900 - 4 Bytes           299D847A600 : 749756120       29A17333340 : 389231873       
0904 - 4 Bytes           299D847A604 : 32759           29A17333344 : 666             
0908 - 4 Bytes           299D847A608 : 2               29A17333348 : 4294967295      
090C - 4 Bytes           299D847A60C : 3               29A1733334C : 0               
0910 - 4 Bytes           299D847A610 : 749734592       29A17333350 : 0               
0914 - 4 Bytes           299D847A614 : 32759           29A17333354 : 1181910779      
0918 - 4 Bytes           299D847A618 : 3628574224      29A17333358 : 1177501563      
091C - 4 Bytes           299D847A61C : 665             29A1733335C : 1170135040      
0920 - Byte              299D847A620 : 0               29A17333360 : 251             
0921 - Byte              299D847A621 : 166             29A17333361 : 134             
0922 - Byte              299D847A622 : 71              29A17333362 : 114             
0923 - 2 Bytes           299D847A623 : 39384           29A17333363 : 31558           
0925 - Byte              299D847A625 : 2               29A17333365 : 63              
0926 - Byte              299D847A626 : 0               29A17333366 : 47              
0927 - Byte              299D847A627 : 0               29A17333367 : 70              
0928 - 4 Bytes           299D847A628 : 768             29A17333368 : 1169611438      
092C - 4 Bytes           299D847A62C : 0               29A1733336C : 0               
0930 - 4 Bytes           299D847A630 : 0               29A17333370 : 0               
0934 - 4 Bytes           299D847A634 : 0               29A17333374 : 3212836864      
0938 - 4 Bytes           299D847A638 : 0               29A17333378 : 0               
093C - 4 Bytes           299D847A63C : 1065353216      29A1733337C : 0               
0940 - Pointer           299D847A640 : P->00000000     29A17333380 : P->467286FBBF800000
0948 - 4 Bytes           299D847A648 : 1065353216      29A17333388 : 1177501563      
094C - 4 Bytes (Hex)     299D847A64C : 00000000        29A1733338C : 45BED800        
0950 - Pointer           299D847A650 : P->00000000     29A17333390 : P->462F3F7B467286FB
0958 - 4 Bytes (Hex)     299D847A658 : 00000000        29A17333398 : 45BEA733        
095C - 4 Bytes           299D847A65C : 1065353216      29A1733339C : 1135891740      
0960 - Pointer           299D847A660 : P->00000000     29A173333A0 : P->FFFFFFFFFFFFFFFF
0968 - Pointer           299D847A668 : P->3F800000     29A173333A8 : P->6355200000000
0970 - 4 Bytes           299D847A670 : 0               29A173333B0 : 32045           
0974 - 4 Bytes           299D847A674 : 0               29A173333B4 : 406867          
0978 - 4 Bytes           299D847A678 : 0               29A173333B8 : 24663           
097C - 4 Bytes           299D847A67C : 0               29A173333BC : 0               
0980 - Pointer           299D847A680 : P->00000000     29A173333C0 : P->00000000     
0988 - Pointer           299D847A688 : P->00000000     29A173333C8 : P->FFE89800000000
0990 - 4 Bytes           299D847A690 : 0               29A173333D0 : 16771224        
0994 - 4 Bytes           299D847A694 : 0               29A173333D4 : 16771224        
0998 - 4 Bytes           299D847A698 : 257             29A173333D8 : 16771224        
099C - 4 Bytes           299D847A69C : 0               29A173333DC : 16771224        
09A0 - 4 Bytes           299D847A6A0 : 0               29A173333E0 : 16771224        
09A4 - 4 Bytes           299D847A6A4 : 0               29A173333E4 : 16771224        
09A8 - 4 Bytes           299D847A6A8 : 0               29A173333E8 : 16771224        
09AC - 4 Bytes           299D847A6AC : 0               29A173333EC : 16771224        
09B0 - 4 Bytes           299D847A6B0 : 273             29A173333F0 : 16771224        
09B4 - 4 Bytes           299D847A6B4 : 0               29A173333F4 : 16771224        
09B8 - 4 Bytes           299D847A6B8 : 0               29A173333F8 : 16771224        
09BC - 4 Bytes           299D847A6BC : 0               29A173333FC : 16771224        
09C0 - 4 Bytes           299D847A6C0 : 0               29A17333400 : 16771224        
09C4 - 4 Bytes           299D847A6C4 : 0               29A17333404 : 16771224        
09C8 - 4 Bytes           299D847A6C8 : 1065353216      29A17333408 : 16771224        
09CC - 4 Bytes           299D847A6CC : 0               29A1733340C : 16771224        
09D0 - 4 Bytes           299D847A6D0 : 0               29A17333410 : 16771224        
09D4 - Double            299D847A6D4 : 0               29A17333414 : 7.27028977913205E-304
09DC - Float             299D847A6DC : 0               29A1733341C : 2.350149044E-38 
09E0 - 4 Bytes           299D847A6E0 : 0               29A17333420 : 16771224        
09E4 - 4 Bytes           299D847A6E4 : 0               29A17333424 : 16771224        
09E8 - Double            299D847A6E8 : 2.1219957909652729A17333428 : 7.27028977913205E-304
09F0 - Float             299D847A6F0 : 0               29A17333430 : 2.350149044E-38 
09F4 - Double            299D847A6F4 : 0               29A17333434 : 7.27028977913205E-304
09FC - 4 Bytes           299D847A6FC : 0               29A1733343C : 16771224        
0A00 - 4 Bytes           299D847A700 : 1056964608      29A17333440 : 16771224        
0A04 - 4 Bytes           299D847A704 : 1056964608      29A17333444 : 16771224        
0A08 - 4 Bytes           299D847A708 : 1               29A17333448 : 16771224        
0A0C - 4 Bytes           299D847A70C : 0               29A1733344C : 16771224        
0A10 - 4 Bytes           299D847A710 : 0               29A17333450 : 16771224        
0A14 - 4 Bytes           299D847A714 : 0               29A17333454 : 16771224        
0A18 - Pointer           299D847A718 : P->00000000     29A17333458 : P->FFE89800FFE898
0A20 - Pointer           299D847A720 : P->00023487     29A17333460 : P->FFE89800FFE898
0A28 - 4 Bytes           299D847A728 : 0               29A17333468 : 16771224        
0A2C - 4 Bytes           299D847A72C : 0               29A1733346C : 16771224        
0A30 - 4 Bytes           299D847A730 : 0               29A17333470 : 16771224        
0A34 - 4 Bytes           299D847A734 : 0               29A17333474 : 16771224        
0A38 - 4 Bytes           299D847A738 : 0               29A17333478 : 16771224        
0A3C - 4 Bytes           299D847A73C : 0               29A1733347C : 16771224        
0A40 - 4 Bytes           299D847A740 : 0               29A17333480 : 16771224        
0A44 - 4 Bytes           299D847A744 : 0               29A17333484 : 16771224        
0A48 - 4 Bytes           299D847A748 : 1               29A17333488 : 16771224        
0A4C - 4 Bytes           299D847A74C : 0               29A1733348C : 16771224        
0A50 - Pointer           299D847A750 : P->00000000     29A17333490 : P->FFE89800FFE898
0A58 - Float             299D847A758 : 0               29A17333498 : 2.350149044E-38 
0A5C - Float             299D847A75C : 0               29A1733349C : 2.350149044E-38 
0A60 - 4 Bytes           299D847A760 : 0               29A173334A0 : 16771224        
0A64 - 4 Bytes           299D847A764 : 0               29A173334A4 : 16771224        
0A68 - 4 Bytes           299D847A768 : 0               29A173334A8 : 16771224        
0A6C - Double            299D847A76C : 0               29A173334AC : 7.27028977913205E-304
0A74 - Float             299D847A774 : 0               29A173334B4 : 2.350149044E-38 
0A78 - Float             299D847A778 : 0               29A173334B8 : 2.350149044E-38 
0A7C - Float             299D847A77C : 0               29A173334BC : 2.350149044E-38 
0A80 - 4 Bytes           299D847A780 : 3804625168      29A173334C0 : 16771224        
0A84 - 4 Bytes           299D847A784 : 665             29A173334C4 : 16771224        
0A88 - 4 Bytes           299D847A788 : 3804625152      29A173334C8 : 16771224        
0A8C - 4 Bytes           299D847A78C : 665             29A173334CC : 16771224        
0A90 - 4 Bytes           299D847A790 : 0               29A173334D0 : 16771224        
0A94 - 4 Bytes           299D847A794 : 0               29A173334D4 : 16771224        
0A98 - Pointer           299D847A798 : P->00000000     29A173334D8 : P->FFE89800FFE898
0AA0 - 4 Bytes           299D847A7A0 : 0               29A173334E0 : 16771224        
0AA4 - 4 Bytes           299D847A7A4 : 0               29A173334E4 : 16771224        
0AA8 - 4 Bytes           299D847A7A8 : 0               29A173334E8 : 16771224        
0AAC - Double            299D847A7AC : 0               29A173334EC : 7.27028977913205E-304
0AB4 - Float             299D847A7B4 : 0               29A173334F4 : 2.350149044E-38 
0AB8 - 4 Bytes (Hex)     299D847A7B8 : 00000000        29A173334F8 : 00FFE898        
0ABC - 4 Bytes           299D847A7BC : 0               29A173334FC : 16771224        
0AC0 - 4 Bytes           299D847A7C0 : 3676349072      29A17333500 : 16771224        
0AC4 - 4 Bytes           299D847A7C4 : 665             29A17333504 : 16771224        
0AC8 - 4 Bytes           299D847A7C8 : 1               29A17333508 : 16771224        
0ACC - 4 Bytes           299D847A7CC : 0               29A1733350C : 16771224        
0AD0 - 4 Bytes           299D847A7D0 : 0               29A17333510 : 16771224        
0AD4 - 4 Bytes           299D847A7D4 : 0               29A17333514 : 16771224        
0AD8 - 4 Bytes           299D847A7D8 : 0               29A17333518 : 16771224        
0ADC - 4 Bytes           299D847A7DC : 0               29A1733351C : 16771224        
0AE0 - 4 Bytes           299D847A7E0 : 1065353216      29A17333520 : 16771224        
0AE4 - Double            299D847A7E4 : 0.0078125018480929A17333524 : 7.27028977913205E-304
0AEC - Float             299D847A7EC : 1               29A1733352C : 2.350149044E-38 
0AF0 - Float             299D847A7F0 : 0               29A17333530 : 2.350149044E-38 
0AF4 - Float             299D847A7F4 : 0               29A17333534 : 2.350149044E-38 
0AF8 - 4 Bytes           299D847A7F8 : 0               29A17333538 : 16771224        
0AFC - 4 Bytes           299D847A7FC : 0               29A1733353C : 16771224        
0B00 - 4 Bytes           299D847A800 : 0               29A17333540 : 16771224        
0B04 - 4 Bytes           299D847A804 : 0               29A17333544 : 16771224        
0B08 - 4 Bytes           299D847A808 : 1               29A17333548 : 16771224        
0B0C - 4 Bytes           299D847A80C : 0               29A1733354C : 16771224        
0B10 - 4 Bytes           299D847A810 : 0               29A17333550 : 88              
0B14 - 4 Bytes           299D847A814 : 0               29A17333554 : 89              
0B18 - Pointer           299D847A818 : P->00000000     29A17333558 : P->5A0000005A   
0B20 - Pointer           299D847A820 : P->00000000     29A17333560 : P->580000005B   
0B28 - 4 Bytes           299D847A828 : 4173152256      29A17333568 : 92              
0B2C - 4 Bytes           299D847A82C : 665             29A1733356C : 93              
0B30 - 4 Bytes           299D847A830 : 3               29A17333570 : 94              
0B34 - 4 Bytes           299D847A834 : 0               29A17333574 : 94              
0B38 - 4 Bytes           299D847A838 : 1               29A17333578 : 95              
0B3C - 4 Bytes           299D847A83C : 0               29A1733357C : 92              
0B40 - 4 Bytes           299D847A840 : 749756120       29A17333580 : 0               
0B44 - 4 Bytes           299D847A844 : 32759           29A17333584 : 0               
0B48 - 4 Bytes           299D847A848 : 2               29A17333588 : 0               
0B4C - 4 Bytes           299D847A84C : 3               29A1733358C : 1065353216      
0B50 - 4 Bytes           299D847A850 : 749734592       29A17333590 : 0               
0B54 - 4 Bytes           299D847A854 : 32759           29A17333594 : 0               
0B58 - 4 Bytes           299D847A858 : 3628574800      29A17333598 : 0               
0B5C - 4 Bytes           299D847A85C : 665             29A1733359C : 0               
0B60 - Byte              299D847A860 : 64              29A173335A0 : 0               
0B61 - Byte              299D847A861 : 168             29A173335A1 : 0               
0B62 - Byte              299D847A862 : 71              29A173335A2 : 0               
0B63 - 2 Bytes           299D847A863 : 39384           29A173335A3 : 0               
0B65 - Byte              299D847A865 : 2               29A173335A5 : 0               
0B66 - Byte              299D847A866 : 0               29A173335A6 : 0               
0B67 - Byte              299D847A867 : 0               29A173335A7 : 0               
0B68 - 4 Bytes           299D847A868 : 768             29A173335A8 : 0               
0B6C - 4 Bytes           299D847A86C : 0               29A173335AC : 0               
0B70 - 4 Bytes           299D847A870 : 0               29A173335B0 : 0               
0B74 - 4 Bytes           299D847A874 : 0               29A173335B4 : 0               
0B78 - 4 Bytes           299D847A878 : 0               29A173335B8 : 0               
0B7C - 4 Bytes           299D847A87C : 1065353216      29A173335BC : 0               
0B80 - Pointer           299D847A880 : P->00000000     29A173335C0 : P->00000000     
0B88 - 4 Bytes           299D847A888 : 1065353216      29A173335C8 : 0               
0B8C - 4 Bytes (Hex)     299D847A88C : 00000000        29A173335CC : 00000000        
0B90 - Pointer           299D847A890 : P->00000000     29A173335D0 : P->00000000     
0B98 - 4 Bytes (Hex)     299D847A898 : 00000000        29A173335D8 : 00000000        
0B9C - 4 Bytes           299D847A89C : 1065353216      29A173335DC : 0               
0BA0 - Pointer           299D847A8A0 : P->00000000     29A173335E0 : P->FFFFFFFF     
0BA8 - Pointer           299D847A8A8 : P->3F800000     29A173335E8 : P->66A1000000000
0BB0 - 4 Bytes           299D847A8B0 : 0               29A173335F0 : 32037           
0BB4 - 4 Bytes           299D847A8B4 : 0               29A173335F4 : 420369          
0BB8 - 4 Bytes           299D847A8B8 : 0               29A173335F8 : 32034           
0BBC - 4 Bytes           299D847A8BC : 0               29A173335FC : 0               
0BC0 - Pointer           299D847A8C0 : P->00000000     29A17333600 : P->00000000     
0BC8 - Pointer           299D847A8C8 : P->00000000     29A17333608 : P->3F3F3F3F00000000
0BD0 - 4 Bytes           299D847A8D0 : 0               29A17333610 : 1061109567      
0BD4 - 4 Bytes           299D847A8D4 : 0               29A17333614 : 1061109567      
0BD8 - 4 Bytes           299D847A8D8 : 257             29A17333618 : 1061109567      
0BDC - 4 Bytes           299D847A8DC : 0               29A1733361C : 1061109567      
0BE0 - 4 Bytes           299D847A8E0 : 0               29A17333620 : 1061109567      
0BE4 - 4 Bytes           299D847A8E4 : 0               29A17333624 : 1061109567      
0BE8 - 4 Bytes           299D847A8E8 : 0               29A17333628 : 1061109567      
0BEC - 4 Bytes           299D847A8EC : 0               29A1733362C : 1061109567      
0BF0 - 4 Bytes           299D847A8F0 : 273             29A17333630 : 1061109567      
0BF4 - 4 Bytes           299D847A8F4 : 0               29A17333634 : 1061109567      
0BF8 - 4 Bytes           299D847A8F8 : 0               29A17333638 : 1061109567      
0BFC - 4 Bytes           299D847A8FC : 0               29A1733363C : 1061109567      
0C00 - 4 Bytes           299D847A900 : 0               29A17333640 : 1061109567      
0C04 - 4 Bytes           299D847A904 : 0               29A17333644 : 1056964608      
0C08 - 4 Bytes           299D847A908 : 1065353216      29A17333648 : 1061109567      
0C0C - 4 Bytes           299D847A90C : 0               29A1733364C : 1061109567      
0C10 - 4 Bytes           299D847A910 : 0               29A17333650 : 1061109567      
0C14 - Double            299D847A914 : 0               29A17333654 : 0.0000309888054342831
0C1C - Float             299D847A91C : 0               29A1733365C : 0               
0C20 - 4 Bytes           299D847A920 : 0               29A17333660 : 1061093376      
0C24 - 4 Bytes           299D847A924 : 0               29A17333664 : 1061093376      
0C28 - Double            299D847A928 : 2.1219957909652729A17333668 : 0.000476792279411765
0C30 - Float             299D847A930 : 0               29A17333670 : 0.7470588088    
0C34 - Double            299D847A934 : 0               29A17333674 : 0.000476792279411765
0C3C - 4 Bytes           299D847A93C : 0               29A1733367C : 1061109567      
0C40 - 4 Bytes           299D847A940 : 1056964608      29A17333680 : 1061109567      
0C44 - 4 Bytes           299D847A944 : 1056964608      29A17333684 : 1061109567      
0C48 - 4 Bytes           299D847A948 : 1               29A17333688 : 1061109567      
0C4C - 4 Bytes           299D847A94C : 0               29A1733368C : 1061109567      
0C50 - 4 Bytes           299D847A950 : 0               29A17333690 : 1061109567      
0C54 - 4 Bytes           299D847A954 : 0               29A17333694 : 1061109567      
0C58 - Pointer           299D847A958 : P->00000000     29A17333698 : P->3F3F3F3F3F3F3F3F
0C60 - Pointer           299D847A960 : P->00023487     29A173336A0 : P->3F3F3F3F3F3F3F3F
0C68 - 4 Bytes           299D847A968 : 0               29A173336A8 : 1061109567      
0C6C - 4 Bytes           299D847A96C : 0               29A173336AC : 1061109567      
0C70 - 4 Bytes           299D847A970 : 0               29A173336B0 : 1061109567      
0C74 - 4 Bytes           299D847A974 : 0               29A173336B4 : 1061109567      
0C78 - 4 Bytes           299D847A978 : 0               29A173336B8 : 1061109567      
0C7C - 4 Bytes           299D847A97C : 0               29A173336BC : 1061109567      
0C80 - 4 Bytes           299D847A980 : 0               29A173336C0 : 1061109567      
0C84 - 4 Bytes           299D847A984 : 0               29A173336C4 : 1061109567      
0C88 - 4 Bytes           299D847A988 : 1               29A173336C8 : 1061109567      
0C8C - 4 Bytes           299D847A98C : 0               29A173336CC : 1061109567      
0C90 - Pointer           299D847A990 : P->00000000     29A173336D0 : P->3F3F3F3F3F3F3F3F
0C98 - Float             299D847A998 : 0               29A173336D8 : 0.7470588088    
0C9C - Float             299D847A99C : 0               29A173336DC : 0.7470588088    
0CA0 - 4 Bytes           299D847A9A0 : 0               29A173336E0 : 1061109567      
0CA4 - 4 Bytes           299D847A9A4 : 0               29A173336E4 : 1061109567      
0CA8 - 4 Bytes           299D847A9A8 : 0               29A173336E8 : 1061109567      
0CAC - Double            299D847A9AC : 0               29A173336EC : 0.000476792279411765
